hashtag,node_hash,weight
hitorijimemyhero,1000812729227569390,1
hiv,-4824120407002904060,13
homevideo,2552720291080625456,1
hookcustom,8586299374010811269,1
hookeffect,8155360643853759347,1
hooks,-2854965041556091880,1
hooksstate,8487073170316508200,1
hot,-6235011166626759781,1
hotelvallechiara,1145470153477342183,1
hotwife,-8519027093616873824,1
hro2020,-4921522314074174398,1
huawei,3238647712751713542,1
huracancosta,-4467813923672968171,1
iacovella,-8291477901592224533,1
iceland,-6256986981649395929,1
idea,-2084010431188280044,1
identità,-8032231214545211526,1
idrogeno,-5918890905713560128,1
idrossiclorochina,-5104283328803799993,1
iene,-4901446523827216996,1
ikawangliwanagatligaya,-1378004637999583616,1
ilcielostellatofalefusa,-8161050934105247578,1
ilcollegio,1004603545391646236,1
ilfilorosso,-3619208883905307551,1
illuminato,-3274889939250458803,1
illuminazione,7447743457078999228,1
ilmanifesto,1421462447191508039,1
ilpuntodebole,-2597051439422950120,2
ilregalochevuoirds,8075780825225479652,1
ilsignoredeglianelli,2695217540616915007,1
ilva,6130196422340024461,1
ilventostacambiando,9067430094715571674,1
ilvolo,-2436834910292477015,1
immacolata,1978844750729602547,1
immigrazione,-7848184852744183021,1
immortalsfenyxrising,6635141455876898805,1
implantiti,-5272801118761155598,1
imprenditori,7489137700938658921,1
imprenditoria,7537890478134412934,1
impresa,-4548593940728424530,1
imprese,-6601178731890952182,1
imwinery,4421668854075593532,1
incendio,1120471677994338652,1
inchiesta,-9027270239785004214,1
incidente,-530733452205664539,2
industria40,5066874069428891920,1
inflazione,5464483096229213354,1
infografica,-5398931401630252419,1
informatica,-932005382187438850,2
informazione,-97084774129965161,1
infortunio,6805768259013482282,1
innovazione,8539554682869602431,6
inpas,-2080922287486852570,1
inps,-1316592827894699472,2
inpscomunica,9021578681985928184,1
inpsmobile,2629259947962789819,1
insigne,-4910955337270331092,1
insurtech,-6062209155982211650,1
intelligenzaartificiale,-6253661127509051723,1
inter,8880108894451215152,5
intermediarifinanziari,-8771074032625182761,1
interstellar,2524275613689249770,1
intervista,5969272470022325168,1
invalidità,1424351414702476429,1
investono,4989727084843452739,1
iostocongiulia,-3308854517994803850,2
iostocongiuliasalemi,8700867919390942542,1
iostoconlacisl,-6862323591723751109,1
ipad,-4765151249077406837,1
iphone,-1087572093674167474,1
irama,-4982875364749464260,2
iran,-2264006320057201884,1
iromìa,-90742138334099223,1
ironic,1425749416670586550,1
ironica,357135997432097514,1
ispirazione,1360402361626479307,2
ispra,6527739819413776326,1
italia,6598056712463268998,8
italian,-1200214123562103744,1
italiane,6756331793082528474,1
italianengene,-3745556496355461564,1
italiani,-6605713856194192029,2
italianlanguage,9091326825288586723,3
italiano,-5801414492525289608,2
italy,-11265935289294090,1
iwork4dell,-6431967549369486080,1
i̇brahimcelikkol,-5265543510153305765,1
jensenackles,6274640195397585082,1
jimmy,-758565063307555216,2
jobs,2302286176393429925,1
juve,-3891630451779922713,1
juvedinamokiev,-87045342083225125,1
juvedynamo,-1388065449023376668,2
juventus,8531427565738208977,4
juveucl,7012518936877107651,1
kilimangiaro,1091361875012573800,1
killer,-6635132178845132191,1
km,3768057363666640491,1
koshobe,8933554159697156249,2
kouame,5523455555759343593,1
labarriera,-3879300934590788881,1
ladytacosdecanasta,8135784658629010714,1
lagodialbano,2623119343791625137,1
lagodiviverone,8096465619001233496,1
laletturacreaindipendenza,-8199286166705170767,8
lamatematicadelcuore,-5922118888894119373,1
lanforadiclio,-7475955383729620958,1
lanotizia,-3730911203429279290,2
laporta,-1483837853474330249,1
lariachetira,9024251570466290977,2
lariachetirala7,7238056567749981909,2
larossamonella,-5055804864544709441,1
lasuaragazza,8158462092576248507,1
latetechshow,5998391178228059297,1
latina,-2925269676817772264,1
latitude,8248524886338347623,1
laudatosigarden,5937547425939679160,1
laudatosiyear,-436261584339593188,1
laveritàdioggi,-816425459458534036,1
lavevaz,-7879994780602819252,1
lavoltabuona,3523991935861319596,1
lavoratori,1379208037386539561,1
lavoretti,-6083452835312075281,1
lavori,1292884454373736605,4
lavoriincorso,469939513125747248,1
lavoro,-3971573603038537191,1
lavorodaremoto,8161714205486898009,1
lazio,8337297277110446236,8
learnitalian,-8168147268266185527,1
lega,-2712611090033345819,3
legacamera,-7603712507559630239,2
legasenato,6245221262205867129,2
leggedibilancio,3473296139943229454,1
leggenda,5282960366129991605,1
leggendocarver,-664964520897526543,1
leggileleggi,-728596747413167361,1
legno,6434131838864396064,1
lego,2249720602500144346,1
legoadventcalendar,6171760237991949659,1
legostarwars,-5613594084789623018,1
lepochecosechecontano,7267231919453234553,1
lepochecosechecontanolibro,-5356652349559023282,1
leragazzesalverannoilmondo,8877459901800728099,1
letteratura,6924252496081453801,1
lettureconsigliate,-2320472994618609651,1
lgbtiq,7258594111219761722,1
libero,-4893191639514719324,5
libia,3643910233304453877,2
libri,7474555099895707241,5
libridaregalare,3407957515391259474,1
